,Empleado,Jorn/Pe√≥,Trab. particular,Patr√≥,Trabaj. Familiar,No especifico
Aguascalientes,66.98,10.71551,15.40225,2.683116,1.698019,2.517363
Baja California,70.5487,7.139181,14.93834,3.975447,0.531238,2.86699
Baja California Sur,63.22,11.05164,18.11644,3.574243,1.217364,2.818134
Campeche,48.412,11.34661,30.55812,2.216917,2.536287,4.929892
Chiapas,69.8491,8.873098,14.88437,2.66529,1.025308,2.702822
Chihuahua,59.5621,14.01096,18.72949,2.641712,1.595067,3.460599
Coahuila,25.7968,14.10685,47.13139,1.382178,5.651758,5.748461
Colima,65.14163,7.341223,18.95071,2.754494,2.557495,3.25443
Distrito Federal,77.238,1.331007,16.07237,2.895756,0.482285,1.980548
Durango,54.0125,12.7219,22.95673,1.954646,4.47052,3.883665
Guanajuato,55.868,13.54071,20.77628,2.232662,3.240758,4.341558
Guerrero,39.9181,11.65221,36.77354,1.555197,4.088074,6.012864
Hidalgo,43.15842,22.60624,24.94491,1.326333,2.894702,5.069377
Jalisco,62.7424,7.940113,20.8958,2.82732,2.131145,3.463168
M√©xic,68.8555,5.689491,19.02868,1.867474,1.341709,3.217083
Michoac√°,40.14248,16.46187,30.00942,2.157818,4.243092,6.985299
Morelos,54.08044,15.88054,22.977,2.44835,1.663236,2.950421
Nayarit,41.65922,19.21201,27.0721,2.675965,3.714163,5.666523
Nuevo Le√≥,76.32103,3.118809,14.71665,2.498256,0.864019,2.481219
Oaxaca,27.83515,12.71209,47.08188,1.187583,6.200409,4.982865
Puebla,42.66726,16.25328,30.63304,1.750781,4.205508,4.490111
Quer√©tar,58.559,14.5612,17.82978,2.168557,2.93051,3.950947
Quintana Roo,60.13971,5.360009,24.17488,2.80777,1.789729,5.720326
San Luis Potos√,48.85088,15.49348,25.532878,1.830001,3.851301,4.441453
Sinaloa,48.73922,21.83278,20.99968,2.358735,1.702513,4.367042
Sonora,60.19904,15.55675,17.45118,3.031547,0.755175,3.006298
Tabasco,49.81089,17.32565,23.09764,2.203164,2.883329,4.67931
Tamaulipas,65.89482,8.856475,18.34519,2.590606,1.412606,2.900299
Tlaxcala,50.58364,12.76747,28.76877,1.116429,2.991216,3.772462
Veracruz,44.14512,18.405,27.34148,2.135088,4.115883,3.857406
Yucat√°,57.13131,12.00799,23.91656,2.235495,1.641638,3.066993
Zacatecas,48.78238,14.02848,30.76703,1.907912,6.803347,5.710831
